"Date","Price","Open","High","Low","Change %"
"03/02/2022","1.757","1.600","1.783","1.536","11.92%"
"03/01/2022","1.570","1.737","1.763","1.523","-8.36%"
"02/28/2022","1.713","1.790","1.814","1.705","-8.41%"
"02/25/2022","1.870","1.862","1.921","1.836","0.27%"
"02/24/2022","1.865","1.870","1.880","1.750","-2.35%"
"02/23/2022","1.910","1.868","1.915","1.868","2.26%"
"02/22/2022","1.868","1.769","1.873","1.755","5.70%"
"02/21/2022","1.767","1.765","1.767","1.765","-2.85%"
"02/18/2022","1.819","1.827","1.879","1.805","-1.51%"
"02/17/2022","1.847","1.900","1.910","1.840","-3.92%"
"02/16/2022","1.922","1.932","1.952","1.887","-0.77%"
"02/15/2022","1.937","1.911","1.959","1.890","1.51%"
"02/14/2022","1.908","1.864","1.950","1.818","4.12%"
"02/11/2022","1.832","1.946","1.972","1.817","-6.78%"
"02/10/2022","1.966","1.819","1.984","1.790","7.90%"
"02/09/2022","1.822","1.808","1.827","1.772","0.28%"
"02/08/2022","1.817","1.768","1.822","1.768","2.83%"
"02/07/2022","1.767","1.775","1.788","1.755","-0.37%"
"02/04/2022","1.773","1.675","1.790","1.658","5.94%"
"02/03/2022","1.674","1.590","1.680","1.587","4.41%"
"02/02/2022","1.603","1.626","1.634","1.580","-1.21%"
"02/01/2022","1.623","1.619","1.652","1.570","0.51%"
"01/31/2022","1.614","1.636","1.654","1.606","-0.39%"
"01/28/2022","1.621","1.670","1.701","1.572","-2.46%"
"01/27/2022","1.662","1.679","1.701","1.632","-1.65%"
"01/26/2022","1.689","1.573","1.698","1.559","8.01%"
"01/25/2022","1.564","1.547","1.577","1.519","0.87%"
"01/24/2022","1.551","1.575","1.594","1.494","-1.37%"
"01/21/2022","1.572","1.573","1.589","1.527","-1.22%"
"01/20/2022","1.592","1.648","1.658","1.583","-2.94%"
"01/19/2022","1.640","1.655","1.693","1.603","-1.29%"
"01/18/2022","1.661","1.593","1.664","1.589","4.30%"
"01/17/2022","1.593","1.598","1.598","1.593","2.13%"
"01/14/2022","1.559","1.491","1.561","1.472","6.00%"
"01/13/2022","1.471","1.519","1.534","1.465","-3.25%"
"01/12/2022","1.521","1.504","1.524","1.476","0.89%"
"01/11/2022","1.507","1.528","1.558","1.497","-0.53%"
"01/10/2022","1.515","1.505","1.553","1.505","0.78%"
"01/07/2022","1.504","1.469","1.525","1.456","2.04%"
"01/06/2022","1.474","1.424","1.482","1.414","3.34%"
"01/05/2022","1.426","1.364","1.439","1.352","4.81%"
"01/04/2022","1.360","1.349","1.398","1.349","0.00%"
"01/03/2022","1.360","1.321","1.370","1.291","7.72%"
"12/31/2021","1.263","1.268","1.278","1.250","-0.13%"
"12/30/2021","1.265","1.297","1.300","1.261","-2.74%"
"12/29/2021","1.300","1.257","1.310","1.245","4.29%"
"12/28/2021","1.247","1.248","1.258","1.237","-0.26%"
"12/27/2021","1.250","1.242","1.263","1.238","0.52%"
"12/23/2021","1.243","1.220","1.248","1.214","2.29%"
"12/22/2021","1.216","1.204","1.243","1.204","-0.40%"
"12/21/2021","1.220","1.165","1.238","1.155","4.17%"
"12/20/2021","1.172","1.146","1.173","1.115","-0.56%"
"12/17/2021","1.178","1.180","1.196","1.142","0.26%"
"12/16/2021","1.175","1.253","1.271","1.167","-5.62%"
"12/15/2021","1.245","1.237","1.301","1.217","0.92%"
"12/14/2021","1.234","1.216","1.250","1.204","2.57%"
"12/13/2021","1.203","1.263","1.271","1.195","-3.52%"
"12/10/2021","1.247","1.271","1.304","1.217","-1.67%"
"12/09/2021","1.268","1.273","1.289","1.229","-1.01%"
"12/08/2021","1.281","1.253","1.292","1.213","1.68%"
"12/07/2021","1.260","1.201","1.263","1.198","4.57%"
"12/06/2021","1.205","1.166","1.216","1.158","5.67%"
"12/03/2021","1.140","1.192","1.235","1.119","-5.12%"
"12/02/2021","1.202","1.151","1.226","1.147","6.12%"
"12/01/2021","1.132","1.198","1.242","1.129","-3.04%"
"11/30/2021","1.168","1.164","1.218","1.070","0.83%"
"11/29/2021","1.158","1.219","1.245","1.150","-0.96%"
"11/26/2021","1.169","1.302","1.305","1.161","-10.07%"
"11/25/2021","1.300","1.308","1.310","1.300","-3.37%"
"11/24/2021","1.346","1.337","1.380","1.299","0.12%"
"11/23/2021","1.344","1.323","1.365","1.305","1.56%"
"11/22/2021","1.323","1.238","1.327","1.223","8.21%"
"11/19/2021","1.223","1.224","1.241","1.145","0.28%"
"11/18/2021","1.220","1.238","1.252","1.212","-0.80%"
"11/17/2021","1.229","1.275","1.282","1.228","-3.22%"
"11/16/2021","1.270","1.257","1.283","1.229","1.19%"
"11/15/2021","1.255","1.229","1.264","1.202","2.26%"
"11/12/2021","1.228","1.257","1.263","1.205","-2.20%"
"11/11/2021","1.255","1.263","1.263","1.255","2.40%"
"11/10/2021","1.226","1.088","1.232","1.086","13.36%"
"11/09/2021","1.081","1.115","1.117","1.060","-3.61%"
"11/08/2021","1.122","1.059","1.127","1.057","6.28%"
"11/05/2021","1.056","1.125","1.146","1.041","-5.23%"
"11/04/2021","1.114","1.185","1.194","1.089","-6.39%"
"11/03/2021","1.190","1.159","1.224","1.131","4.11%"
"11/02/2021","1.143","1.191","1.198","1.123","-3.28%"
"11/01/2021","1.181","1.214","1.227","1.177","-0.28%"
"10/29/2021","1.185","1.169","1.251","1.165","0.14%"
"10/28/2021","1.183","1.157","1.217","1.141","2.88%"
"10/27/2021","1.150","1.181","1.218","1.130","-2.36%"
"10/26/2021","1.178","1.176","1.204","1.166","0.57%"
