"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2022","147.86","147.97","148.11","147.72","17.95K","-0.07%"
"06/21/2022","147.96","147.93","147.98","147.60","14.40K","-0.02%"
"06/20/2022","147.99","147.40","148.27","147.07","20.82K","0.38%"
"06/17/2022","147.43","147.20","147.78","146.08","37.32K","0.15%"
"06/16/2022","147.21","145.65","147.41","145.05","47.21K","1.12%"
"06/15/2022","145.58","147.62","147.83","145.58","66.91K","-1.36%"
"06/14/2022","147.59","148.48","148.49","147.32","70.07K","-1.00%"
"06/13/2022","149.08","149.64","149.65","149.05","2.00K","-0.33%"
"06/10/2022","149.57","149.65","149.68","149.48","6.55K","-0.05%"
"06/09/2022","149.65","149.55","149.66","149.44","17.94K","0.07%"
"06/08/2022","149.55","149.54","149.71","149.52","23.39K","0.03%"
"06/07/2022","149.51","149.71","149.73","149.43","31.56K","-0.13%"
"06/06/2022","149.70","149.86","149.90","149.68","21.93K","-0.11%"
"06/03/2022","149.86","149.69","149.90","149.67","22.27K","0.11%"
"06/02/2022","149.69","149.76","149.78","149.65","23.19K","-0.05%"
"06/01/2022","149.76","149.65","149.76","149.56","26.91K","0.07%"
"05/31/2022","149.65","149.90","149.91","149.65","26.60K","-0.17%"
"05/30/2022","149.91","149.97","150.02","149.89","13.96K","-0.03%"
"05/27/2022","149.95","149.98","149.99","149.76","30.16K","0.03%"
"05/26/2022","149.91","150.16","150.17","149.85","33.11K","-0.13%"
"05/25/2022","150.11","149.85","150.15","149.84","33.60K","0.17%"
"05/24/2022","149.86","149.74","149.87","149.69","19.37K","0.09%"
"05/23/2022","149.73","149.79","149.86","149.71","18.04K","-0.03%"
"05/20/2022","149.78","149.60","149.85","149.55","33.78K","0.12%"
"05/19/2022","149.60","149.49","149.66","149.46","21.44K","0.05%"
"05/18/2022","149.52","149.49","149.53","149.36","20.75K","0.03%"
"05/17/2022","149.48","149.48","149.57","149.43","16.28K","0.00%"
"05/16/2022","149.48","149.50","149.58","149.43","15.76K","-0.03%"
"05/13/2022","149.52","149.47","149.67","149.47","27.97K","0.03%"
"05/12/2022","149.47","149.34","149.50","149.19","27.76K","0.10%"
"05/11/2022","149.32","149.18","149.34","149.14","18.43K","0.09%"
"05/10/2022","149.19","149.10","149.26","148.96","27.06K","0.07%"
"05/09/2022","149.09","149.20","149.22","149.00","24.88K","-0.06%"
"05/06/2022","149.18","149.34","149.42","149.12","24.17K","-0.01%"
"05/05/2022","149.19","149.32","149.44","149.18","","-0.05%"
"05/04/2022","149.26","149.28","149.33","149.24","","-0.02%"
"05/03/2022","149.29","149.31","149.38","149.25","","-0.05%"
"05/02/2022","149.37","149.61","149.65","149.25","30.88K","-0.11%"
"04/29/2022","149.53","149.58","149.59","149.44","","-0.06%"
"04/28/2022","149.62","149.33","149.72","149.27","31.89K","0.21%"
"04/27/2022","149.31","149.35","149.51","149.30","29.75K","-0.01%"
"04/26/2022","149.32","149.30","149.46","149.24","32.00K","0.03%"
"04/25/2022","149.27","149.12","149.32","149.01","24.36K","0.12%"
"04/22/2022","149.09","149.13","149.21","148.98","30.54K","-0.04%"
"04/21/2022","149.15","149.07","149.31","149.02","27.99K","0.03%"
"04/20/2022","149.10","149.31","149.35","148.99","35.68K","-0.13%"
"04/19/2022","149.30","149.33","149.44","149.29","18.04K","-0.03%"
"04/18/2022","149.34","149.40","149.40","149.29","10.21K","-0.05%"
"04/15/2022","149.41","149.42","149.62","149.32","18.64K","-0.03%"
"04/14/2022","149.45","149.24","149.50","149.20","26.04K","0.11%"
"04/13/2022","149.28","149.23","149.50","149.20","21.71K","0.03%"
"04/12/2022","149.23","149.29","149.35","149.19","21.65K","-0.05%"
"04/11/2022","149.30","149.49","149.49","149.25","17.54K","-0.13%"
"04/08/2022","149.49","149.50","149.57","149.28","24.04K","0.01%"
"04/07/2022","149.47","149.28","149.50","149.18","24.45K","0.15%"
"04/06/2022","149.25","149.76","149.76","149.20","27.98K","-0.34%"
"04/05/2022","149.76","149.73","149.92","149.73","22.34K","0.00%"
