"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2022","169.79","169.92","170.20","169.57","771.35K","-0.10%"
"01/10/2022","169.96","169.96","170.21","169.71","679.20K","-0.02%"
"01/07/2022","170.00","170.45","170.53","169.88","613.34K","-0.20%"
"01/06/2022","170.34","170.53","170.61","169.95","762.90K","-0.24%"
"01/05/2022","170.75","170.75","170.93","170.53","639.22K","-0.04%"
"01/04/2022","170.81","170.69","171.17","170.50","717.15K","0.04%"
"01/03/2022","170.74","171.36","171.53","170.55","492.41K","-0.37%"
"12/30/2021","171.37","171.42","171.79","171.31","314.73K","-0.08%"
"12/29/2021","171.51","172.31","172.42","171.31","325.49K","-0.49%"
"12/28/2021","172.36","172.36","172.47","172.09","189.53K","-0.03%"
"12/27/2021","172.41","172.48","172.64","172.08","180.06K","-0.08%"
"12/24/2021","172.54","172.54","172.54","172.54","","0.06%"
"12/23/2021","172.43","173.17","173.19","172.28","371.68K","-0.41%"
"12/22/2021","173.14","173.47","173.52","172.77","362.64K","-0.10%"
"12/21/2021","173.31","174.23","174.44","173.23","476.94K","-0.64%"
"12/20/2021","174.42","174.74","174.94","174.09","403.16K","-0.01%"
"12/17/2021","174.43","174.25","174.66","174.08","405.41K","0.22%"
"12/16/2021","174.05","174.09","174.44","173.43","667.66K","-0.15%"
"12/15/2021","174.32","174.39","174.56","174.04","403.49K","-0.08%"
"12/14/2021","174.46","174.64","174.75","174.18","394.66K","-0.13%"
"12/13/2021","174.68","173.91","174.70","173.89","359.93K","0.25%"
"12/10/2021","174.24","174.13","174.27","173.78","448.42K","0.03%"
"12/09/2021","174.19","173.59","174.31","173.44","464.44K","0.77%"
"12/08/2021","172.86","172.54","172.96","172.40","8.24K","0.19%"
"12/07/2021","172.53","172.69","172.79","172.27","117.81K","-0.22%"
"12/06/2021","172.91","172.92","173.01","172.60","662.45K","0.08%"
"12/03/2021","172.77","172.83","173.14","172.41","1.12M","0.01%"
"12/02/2021","172.75","172.47","173.06","172.12","1.42M","0.40%"
"12/01/2021","172.07","172.19","172.59","171.63","1.05M","-0.17%"
"11/30/2021","172.37","171.99","172.71","171.84","1.02M","0.20%"
"11/29/2021","172.02","172.03","172.38","171.65","671.18K","-0.19%"
"11/26/2021","172.34","171.19","172.46","171.14","879.09K","0.80%"
"11/25/2021","170.98","170.60","171.06","170.60","349.08K","0.26%"
"11/24/2021","170.54","170.74","171.18","170.31","793.13K","-0.16%"
"11/23/2021","170.81","171.68","171.70","170.56","784.69K","-0.56%"
"11/22/2021","171.77","172.19","172.57","171.53","644.23K","-0.32%"
"11/19/2021","172.32","171.21","172.42","171.00","891.76K","0.63%"
"11/18/2021","171.24","170.94","171.38","170.88","640.49K","0.28%"
"11/17/2021","170.77","170.62","170.97","170.55","537.00K","0.00%"
"11/16/2021","170.77","170.54","170.86","170.36","618.97K","0.01%"
"11/15/2021","170.75","171.01","171.40","170.42","628.91K","-0.06%"
"11/12/2021","170.85","170.50","171.07","170.32","676.53K","0.25%"
"11/11/2021","170.42","170.41","170.87","170.21","582.16K","-0.16%"
"11/10/2021","170.69","171.26","171.38","170.27","843.97K","-0.33%"
"11/09/2021","171.25","170.60","171.44","170.52","709.92K","0.33%"
"11/08/2021","170.69","171.10","171.12","170.43","556.85K","-0.22%"
"11/05/2021","171.07","170.16","171.24","170.06","850.91K","0.51%"
"11/04/2021","170.21","169.17","170.33","169.03","894.29K","0.51%"
"11/03/2021","169.34","169.25","169.70","168.98","803.10K","0.01%"
"11/02/2021","169.33","168.39","169.36","168.31","875.01K","0.70%"
"11/01/2021","168.15","168.18","168.56","167.69","740.86K","0.02%"
"10/29/2021","168.12","168.95","168.98","167.71","1.35M","-0.56%"
"10/28/2021","169.06","169.61","169.65","168.29","1.27M","-0.28%"
"10/27/2021","169.54","168.78","169.83","168.51","958.58K","0.50%"
"10/26/2021","168.69","168.56","168.97","168.40","630.95K","0.02%"
"10/25/2021","168.65","168.44","168.68","168.07","583.71K","0.22%"
"10/22/2021","168.28","167.90","168.55","167.84","758.78K","0.02%"
"10/21/2021","168.25","168.50","168.80","167.92","722.50K","-0.27%"
"10/20/2021","168.71","168.26","168.87","168.08","678.20K","0.10%"
"10/19/2021","168.54","169.08","169.48","168.34","846.46K","-0.34%"
"10/18/2021","169.11","169.22","169.30","168.64","913.62K","-0.27%"
"10/15/2021","169.56","169.84","169.84","169.17","670.47K","-0.05%"
"10/14/2021","169.65","168.86","169.92","168.64","984.02K","0.42%"
"10/13/2021","168.94","168.34","169.12","168.31","1.13M","0.31%"
"10/12/2021","168.41","168.83","169.00","168.21","1.07M","-0.22%"
"10/11/2021","168.78","169.10","169.11","168.57","547.63K","-0.26%"
"10/08/2021","169.22","169.55","169.69","169.11","832.29K","-0.29%"
"10/07/2021","169.71","169.53","170.00","169.40","706.34K","0.04%"
"10/06/2021","169.65","169.63","169.91","169.12","923.81K","-0.01%"
"10/05/2021","169.66","170.17","170.39","169.64","704.30K","-0.26%"
"10/04/2021","170.11","170.45","170.55","169.92","604.57K","-0.06%"
"10/01/2021","170.22","170.03","170.53","169.92","781.48K","0.24%"
"09/30/2021","169.82","170.12","170.19","169.56","942.18K","-0.19%"
"09/29/2021","170.15","169.65","170.32","169.61","737.21K","0.17%"
"09/28/2021","169.86","170.25","170.31","169.48","943.32K","-0.18%"
"09/27/2021","170.17","170.33","170.68","169.73","786.12K","-0.08%"
"09/24/2021","170.30","170.59","170.62","170.14","803.94K","-0.23%"
"09/23/2021","170.70","171.67","171.72","170.60","905.35K","-0.61%"
"09/22/2021","171.74","171.69","171.93","171.41","584.54K","0.00%"
"09/21/2021","171.74","171.70","171.96","171.27","652.92K","0.11%"
"09/20/2021","171.55","171.01","171.84","170.99","702.85K","0.32%"
"09/17/2021","171.00","171.20","171.32","170.81","675.36K","-0.25%"
"09/16/2021","171.43","171.48","171.53","171.10","684.75K","-0.08%"
"09/15/2021","171.57","171.86","172.07","171.34","727.41K","-0.20%"
"09/14/2021","171.91","171.70","172.12","171.33","807.83K","0.06%"
"09/13/2021","171.80","171.71","171.92","171.62","418.82K","-0.05%"
"09/10/2021","171.88","172.44","172.46","171.71","521.58K","-0.23%"
"09/09/2021","172.28","171.69","172.48","171.59","763.55K","-1.33%"
"09/08/2021","174.60","174.44","174.71","174.33","9.31K","0.06%"
"09/07/2021","174.49","175.10","175.18","174.36","186.56K","-0.43%"
"09/06/2021","175.25","175.09","175.27","174.90","512.63K","0.05%"
"09/03/2021","175.17","175.42","175.64","174.90","1.17M","-0.17%"
"09/02/2021","175.47","175.23","175.65","175.20","1.46M","0.14%"
"09/01/2021","175.23","175.35","175.50","174.98","1.14M","-0.13%"
"08/31/2021","175.45","176.46","176.48","175.34","996.21K","-0.47%"
"08/30/2021","176.28","176.11","176.40","175.83","387.01K","0.16%"
"08/27/2021","175.99","175.86","176.11","175.66","540.73K","0.03%"
"08/26/2021","175.93","175.91","176.14","175.71","736.49K","-0.03%"
"08/25/2021","175.98","176.77","176.87","175.91","811.47K","-0.48%"
"08/24/2021","176.83","176.93","177.08","176.66","518.08K","-0.03%"
"08/23/2021","176.89","177.10","177.16","176.56","507.28K","-0.15%"
"08/20/2021","177.15","177.02","177.22","176.99","318.42K","0.06%"
"08/19/2021","177.04","177.01","177.24","176.86","518.03K","0.07%"
"08/18/2021","176.92","176.81","177.08","176.71","430.20K","0.07%"
"08/17/2021","176.80","176.75","177.24","176.68","510.27K","0.00%"
"08/16/2021","176.80","176.86","177.07","176.48","468.51K","0.09%"
"08/13/2021","176.64","176.52","176.80","176.29","394.18K","0.03%"
"08/12/2021","176.58","176.76","176.77","176.35","416.08K","0.01%"
"08/11/2021","176.57","176.55","176.83","176.21","579.58K","-0.01%"
"08/10/2021","176.59","176.60","176.95","176.41","451.13K","0.04%"
"08/09/2021","176.52","176.45","176.91","176.39","405.68K","0.01%"
"08/06/2021","176.50","177.20","177.27","176.47","580.95K","-0.45%"
"08/05/2021","177.29","177.16","177.61","177.05","561.19K","0.20%"
"08/04/2021","176.94","177.01","177.52","176.85","661.16K","-0.02%"
"08/03/2021","176.97","176.82","177.12","176.67","459.06K","0.08%"
"08/02/2021","176.82","176.55","177.07","176.35","504.55K","0.14%"
"07/30/2021","176.57","176.54","176.73","176.29","584.90K","0.07%"
"07/29/2021","176.44","176.57","176.67","176.03","594.92K","0.02%"
"07/28/2021","176.41","176.27","176.66","176.20","628.19K","0.09%"
"07/27/2021","176.26","175.88","176.37","175.82","503.70K","0.24%"
"07/26/2021","175.83","176.00","176.42","175.62","541.47K","0.01%"
"07/23/2021","175.81","175.90","175.97","175.56","476.08K","-0.07%"
"07/22/2021","175.94","175.54","176.15","175.24","695.78K","0.23%"
"07/21/2021","175.53","175.77","176.11","175.41","755.38K","-0.18%"
"07/20/2021","175.85","175.48","176.28","175.41","912.58K","0.19%"
"07/19/2021","175.52","175.15","175.72","175.02","742.94K","0.37%"
"07/16/2021","174.87","174.86","175.04","174.65","451.48K","0.17%"
"07/15/2021","174.58","174.55","174.90","174.45","623.77K","0.14%"
"07/14/2021","174.34","173.72","174.49","173.70","612.53K","0.13%"
"07/13/2021","174.12","174.05","174.31","173.70","802.45K","0.04%"
"07/12/2021","174.05","173.91","174.32","173.91","456.60K","0.09%"
"07/09/2021","173.90","174.16","174.32","173.87","552.53K","-0.25%"
"07/08/2021","174.34","174.16","174.77","174.09","892.13K","0.18%"
"07/07/2021","174.02","173.60","174.27","173.46","782.43K","0.24%"
"07/06/2021","173.60","172.72","173.65","172.49","753.36K","0.52%"
"07/05/2021","172.70","173.12","173.18","172.65","344.34K","-0.23%"
"07/02/2021","173.09","172.62","173.19","172.54","692.35K","0.32%"
"07/01/2021","172.54","172.50","172.69","172.22","666.57K","-0.04%"
"06/30/2021","172.61","172.13","172.74","171.98","724.06K","0.31%"
"06/29/2021","172.07","172.25","172.33","171.86","666.53K","-0.11%"
